cycle,r2_single,r2_delta,rmse_single,rmse_delta,filename
7,0.605847500767736,0.605449292478901,1.1638217202004626,1.1644094704527674,data/LCK.smi
8,0.6132681485925855,0.5805766387047401,1.0263497395897558,1.0688498817843142,data/LCK.smi
9,0.6206981981470951,0.5865504189592631,1.11527265826561,1.1643937897294763,data/LCK.smi
0,0.5601317697434833,0.583342811203626,0.9971063363354312,0.9704420750341418,data/Monoamine.smi
1,0.6261548436954207,0.6404684066443931,0.9163347976090946,0.8986215510386185,data/Monoamine.smi
2,0.5847165962185139,0.6422955113887663,0.9735103574130655,0.903504840533331,data/Monoamine.smi
3,0.5912506876202448,0.5714199517656104,0.8485575221080269,0.8688978944182073,data/Monoamine.smi
4,0.5503356015324594,0.5625757821449141,0.9764631713294748,0.9630814716980063,data/Monoamine.smi
5,0.5637778793659327,0.5528241538201838,0.9282705701621812,0.9398529484749604,data/Monoamine.smi
6,0.5631082147460085,0.570125353294694,0.92742140544275,0.9199433660957369,data/Monoamine.smi
7,0.6060369833811026,0.6076308408105077,0.9255930630754354,0.9237188281049934,data/Monoamine.smi
8,0.5125558430141447,0.5550103180823369,0.9915169541842601,0.947354845528913,data/Monoamine.smi
9,0.6647685518887538,0.6364574103888563,0.9146573424458867,0.9524971760011879,data/Monoamine.smi
0,0.6365703616564035,0.6302546678362433,1.0027722260869707,1.0114478038868966,data/opioid.smi
1,0.6737704577567296,0.7555757668031253,0.8675518246043507,0.7509411697954307,data/opioid.smi
2,0.6938630503837233,0.6812915826701724,0.9104547250344498,0.9289604952951194,data/opioid.smi
3,0.6587786374667544,0.695985670741559,0.9959742993184126,0.9401064932426668,data/opioid.smi
4,0.6614253285454703,0.681067803830586,1.108213819717739,1.075586915725217,data/opioid.smi
5,0.6641341966784106,0.7158866431607152,0.9432925409589056,0.8675796010466879,data/opioid.smi
6,0.7085232716974765,0.781729176018862,0.920903161345756,0.7969110792586096,data/opioid.smi
7,0.698063280805453,0.7310800249873708,0.9379111673067627,0.8851467357182349,data/opioid.smi
8,0.6872569853423294,0.7470613562262953,0.9260348512750901,0.8328007648122542,data/opioid.smi
9,0.6907920481715151,0.6538227149501914,0.9360164764678004,0.9903927450857415,data/opioid.smi
